key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-395285368,"The Butterflies (Lepidoptera) of an Isolated Island: Monhegan, Maine",2019,7,,NORTHEASTERN NATURALIST,"[""1092-6194"", ""1938-5307     J9  - NORTHEAST NAT     JI  - Northeast. Nat""]",26,3,537-544,"Williams, EH",,English,,"Hamilton Coll, Dept Biol, Clinton, NY 13323 USA",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  14,10.1656/045.026.0306     WE  - Science Citation Index Expanded (SCI-EXPANDED),,,
rayyan-395285386,Effectiveness of DNA Barcoding in Speyeria Butterflies at Small Geographic Scales,2018,12,,DIVERSITY-BASEL,1424-2818     J9  - DIVERSITY-BASEL     JI  - Diversity-Basel,10,4,,"Hill, RI and Ganeshan, M and Wourms, L and Kronforst, MR and Mullen, SP and Savage, WK",,English,,"[""Univ Pacific, Dept Biol Sci, Stockton, CA 95211 USA"", ""Univ Chicago, Dept Ecol & Evolut, 940 E 57Th St, Chicago, IL 60637 USA"", ""Boston Univ, Dept Biol Sci, Boston, MA 02215 USA"", ""Univ Massachusetts, Dept Biol Sci, Lowell, MA 01854 USA""]",,Times Cited in Web of Science Core Collection:  9     Total Times Cited:  9     Cited Reference Count:  31,10.3390/d10040130     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Argynnis;cytochrome oxidase subunit I;mitochondrial DNA;FRITILLARY;NYMPHALIDAE;COMPATIBILITY;LEPIDOPTERA;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA, B-Form;DNA, A-Form;DNA",,
rayyan-395285390,Extreme weather affects colonization-extinction dynamics and the persistence of a threatened butterfly,2020,6,,JOURNAL OF APPLIED ECOLOGY,"[""0021-8901"", ""1365-2664     J9  - J APPL ECOL     JI  - J. Appl. Ecol.""]",57,6,1068-1077,"Johansson, V and Kindvall, O and Askling, J and Franzen, M",,English,,"[""Calluna AB, Linkoping, Sweden"", ""Linnaeus Univ, Ctr Ecol & Evolut Microbial Syst, EEMiS, Dept Biol & Environm Sci, Kalmar, Sweden""]",,Times Cited in Web of Science Core Collection:  12     Total Times Cited:  12     Cited Reference Count:  58,10.1111/1365-2664.13611,climate change;drought;extreme weather;grazing;habitat quality;marsh fritillary;metapopulation;population persistence;CLIMATE-CHANGE;HABITAT FRAGMENTATION;GRAZING INTENSITY;EUPHYDRYAS AURINIA;MANAGEMENT IMPACTS;MARSH FRITILLARY;POPULATION;METAPOPULATION;CONSERVATION;RESPONSES,,
rayyan-395285396,Butterfly richness and abundance along a gradient of imperviousness and the importance of matrix quality,2020,10,,ECOLOGICAL APPLICATIONS,"[""1051-0761"", ""1939-5582     J9  - ECOL APPL     JI  - Ecol. Appl.""]",30,7,,"Kurylo, JS and Threlfall, CG and Parris, KM and Ossola, A and Williams, NSG and Evans, KL",,English,,"[""Univ Melbourne, Sch Ecosyst Forest Sci, Melbourne, Vic, Australia"", ""Macquarie Univ, Dept Biol Sci, Sydney, NSW, Australia"", ""Univ Sheffield, Dept Anim & Plant Sci, Sheffield S10 2TN, S Yorkshire, England"", ""Univ Calif Los Angeles, Dept Environm Hlth Sci, Los Angeles, CA 90095 USA""]",,Times Cited in Web of Science Core Collection:  12     Total Times Cited:  13     Cited Reference Count:  84,10.1002/eap.2144,conservation;habitat management;habitat quality;insects;Lepidoptera;local extinction;nonnative plants;urban woodland;FRAGMENTED URBAN LANDSCAPE;DAY-FLYING MOTHS;NATIVE PLANTS;FLOWER USE;SPECIES RICHNESS;LONG-TERM;DIVERSITY;HABITAT;URBANIZATION;BIODIVERSITY;Butterflies,,
rayyan-395285400,Behavior-partitioned diversity reveals differential habitat values of gardens to butterfly communities,2021,6,,ECOLOGICAL APPLICATIONS,"[""1051-0761"", ""1939-5582     J9  - ECOL APPL     JI  - Ecol. Appl.""]",31,4,,"Lo, FHY and Tsang, TPN and Bonebrake, TC",,English,,"Univ Hong Kong, Fac Sci, Sch Biol Sci, Div Ecol & Biodivers, Hong Kong, Peoples R China",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  46,10.1002/eap.2331,behaviors;butterflies;complementary habitats;conservation;diversity;floral availability;gardens;nectar limitation;pollinators;PROTECTED AREAS;CONSERVATION;VEGETATION;DISPERSAL;MATRIX;INDICATORS;CORRIDORS;CLIMATE;QUALITY;RARE,,
rayyan-395285407,"Area threshold and trait-environment associations of butterfly assemblages in the Zhoushan Archipelago, China",2021,4,,JOURNAL OF BIOGEOGRAPHY,"[""0305-0270"", ""1365-2699     J9  - J BIOGEOGR     JI  - J. Biogeogr.""]",48,4,785-797,"Chen, CW and Xu, AC and Wang, YP",,English,,"[""Nanjing Normal Univ, Coll Life Sci, Jiangsu Key Lab Biodivers & Biotechnol, Nanjing 210023, Peoples R China"", ""China Jiliang Univ, Coll Life Sci, Hangzhou, Peoples R China""]",,Times Cited in Web of Science Core Collection:  2     Total Times Cited:  3     Cited Reference Count:  74,10.1111/jbi.14037,area thresholds;body weight;butterflies;data transformations;life&#8208;history traits;small&#8208;island effect;species&#8211;area relationship;trait&#8211;environment associations;wing loading;wingspan;LIFE-HISTORY TRAITS;LAND-BRIDGE ISLANDS;SPECIES-AREA;HABITAT DIVERSITY;SPATIAL STRUCTURE;FOREST FRAGMENTS;BIOGEOGRAPHY;NESTEDNESS;RESPONSES;MAMMALS;China,,
rayyan-395285412,Spring's First Butterfly,2020,3,,NATURAL HISTORY,0028-0712     J9  - NAT HIST     JI  - Nat. Hist.,128,3,48-48     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Young, AM",,English,,"Milwaukee Publ Museum, Zool, Milwaukee, WI 53233 USA     PU  - NATURAL HISTORY MAGAZINE     PI  - NEW YORK     PA  - 36 WEST 25TH STREET, FIFTH FLOOR, NEW YORK, NY 10010 USA",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  0,,,,
rayyan-395285420,Invasion patterns and niche comparison of the butterfly Cacyreus marshalli among native and non-native range,2022,12,,BIOLOGICAL INVASIONS,"[""1387-3547"", ""1573-1464     J9  - BIOL INVASIONS     JI  - Biol. Invasions""]",24,12,3935-3952,"Martelli, F and Paradiso, F and Ghidotti, S and Viterbi, R and Cerrato, C and Bonelli, S",,English,,"[""Univ Turin, Dept Life Sci & Syst Biol, DBIOS, Via Acad Albertina 13, I-10123 Turin, Italy"", ""Gran Paradiso Natl Pk,Via Pio VII 9, I-10135 Turin, Italy""]",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  101,10.1007/s10530-022-02895-3,Alien species;Geranium;Invasive Lepidoptera;Niche analysis;Niche shift;Pelargonium;ALIEN PLANT INVASIONS;LEPIDOPTERA PAPILIONOIDEA;SPREAD;SHIFTS;CONSERVATION;DISPERSAL;DYNAMICS;CLIMATE;EUROPE;ABUNDANCE,,
rayyan-395285422,Origins of Six Species of Butterflies Migrating through Northeastern Mexico: New Insights from Stable Isotope (delta H-2) Analyses and a Call for Documenting Butterfly Migrations,2021,3,,DIVERSITY-BASEL,1424-2818     J9  - DIVERSITY-BASEL     JI  - Diversity-Basel,13,3,,"Hobson, KA and Kusack, JW and Mora-Alvarez, BX",,English,,"[""Environm & Climate Change Canada, 11 Innovat Blvd, Saskatoon, SK S7N 0H3, Canada"", ""Univ Western Ontario, Dept Biol, London, ON N6A 5B7, Canada""]",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  62,10.3390/d13030102     WE  - Science Citation Index Expanded (SCI-EXPANDED),migratory connectivity;stable isotopes;deuterium;butterfly migration;MONARCH BUTTERFLIES;TRACKING SYSTEM;NATAL ORIGINS;HYDROGEN;BIRDS;MECHANISMS;STRATEGIES;ISOSCAPES;DISTANCE,,
rayyan-395285425,Biotic predictors with phenological information improve range estimates for migrating monarch butterflies in Mexico,2020,3,,ECOGRAPHY,"[""0906-7590"", ""1600-0587     J9  - ECOGRAPHY     JI  - Ecography""]",43,3,341-352,"Kass, JM and Anderson, RP and Espinosa-Lucas, A and Juarez-Jaimes, V and Martinez-Salas, E and Botello, F and Tavera, G and Flores-Martinez, JJ and Sanchez-Cordero, V",,English,,"[""CUNY, Grad Ctr, Doctoral Program Biol, New York, NY 10017 USA"", ""CUNY, Dept Biol, City Coll New York, New York, NY 10017 USA"", ""Grad Univ, Okinawa Inst Sci & Technol, Biodivers & Biocomplex Unit, Onna Son, Okinawa, Japan"", ""Amer Museum Nat Hist, Div Vertebrate Zool Mammal, New York, NY 10024 USA"", ""UNAM, Inst Biol, Dept Zool, Ciudad Univ, Ciudad De Mexico, Mexico"", ""CONANP, Direcc Reg Ctr & Eje Neovolcdn, Ciudad De Mexico, Mexico""]",,Times Cited in Web of Science Core Collection:  18     Total Times Cited:  18     Cited Reference Count:  60,10.1111/ecog.04886,biotic interaction;Danaus plexippus;migration;monarch;phenology;species distribution model;SPECIES DISTRIBUTION MODELS;CLIMATE-CHANGE;ECOLOGICAL NICHES;DISTRIBUTIONS;EVOLUTION;FUTURE;MAXENT;TIME;Mexico,,
rayyan-395285435,The Last Butterflies: A Scientist's Quest to Save a Rare and Vanishing Creature,2020,3,,ORYX,"[""0030-6053"", ""1365-3008     J9  - ORYX     JI  - Oryx""]",54,2,286-286,"Leather, SR",,English,,"Harper Adams Univ, Dept Crop & Environm Sci, Newport, Shrops, England     PU  - CAMBRIDGE UNIV PRESS     PI  - NEW YORK     PA  - 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  1,10.1017/S0030605320000022     WE  - Science Citation Index Expanded (SCI-EXPANDED),,,
rayyan-395285437,Mitogenomes of Three Satyrid Butterfly Species (Nymphalidae: Lepidoptera) and Reconstructed Phylogeny of Satyrinae,2021,10,,DIVERSITY-BASEL,1424-2818     J9  - DIVERSITY-BASEL     JI  - Diversity-Basel,13,10,,"Dan, ZC and Duan, L and Chen, ZN and Guan, DL and Xu, SQ",,English,,"[""Shaanxi Normal Univ, Coll Life Sci, Xian 710119, Peoples R China"", ""Qinghai Normal Univ, Coll Life Sci, Xining 810000, Peoples R China""]",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  60,10.3390/d13100468     WE  - Science Citation Index Expanded (SCI-EXPANDED),mitochondrial DNA;butterfly;Satyrinae;COMPLETE MITOCHONDRIAL GENOME;MOLECULAR EVOLUTION;OENEIS-URDA;SEQUENCE;DIVERSIFICATION;PERFORMANCE;PLATFORM;GENUS,,
rayyan-395285448,Retinal organization and visual abilities for flower foraging in swallowtail butterflies,2020,12,,CURRENT OPINION IN INSECT SCIENCE,"[""2214-5745"", ""2214-5753     J9  - CURR OPIN INSECT SCI     JI  - Curr. Opin. Insect Sci.""]",42,,76-83,"Kinoshita, M and Stewart, FJ",,English,,"Grad Univ Adv Studies, Lab Neuroethol, SOKENDAI Hayama, Hayama, Kanagawa 2400193, Japan",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  49,10.1016/j.cois.2020.09.009     WE  - Science Citation Index Expanded (SCI-EXPANDED),COLOR-VISION;SPECTRAL ORGANIZATION;POLARIZATION VISION;PAPILIO;DISCRIMINATION;PHOTORECEPTORS;HETEROGENEITY;CONTRAST;STIMULI;WHITE,,
rayyan-395285469,An experimental test of changed personality in butterflies from anthropogenic landscapes,2020,6,17,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"[""0340-5443"", ""1432-0762     J9  - BEHAV ECOL SOCIOBIOL     JI  - Behav. Ecol. Sociobiol.""]",74,7,,"Kaiser, A and Merckx, T and Van Dyck, H",,English,,"[""UCLouvain, Behav Ecol & Conservat Grp, Earth & Life Inst, Louvain La Neuve, Belgium"", ""Univ Oulu, Dept Ecol & Genet, Oulu, Finland""]",,Times Cited in Web of Science Core Collection:  8     Total Times Cited:  8     Cited Reference Count:  69,10.1007/s00265-020-02871-8     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI),Animal personality;Behavioural syndrome;Ecotypic differentiation;Human-induced rapid environmental change;Urbanization;BEHAVIORAL SYNDROMES;PARARGE-AEGERIA;HABITAT FRAGMENTATION;MATE LOCATION;URBAN;URBANIZATION;POPULATIONS;LIFE;CITY;EVOLUTION,,
rayyan-395285480,Spatial risk assessment of eastern monarch butterfly road mortality during autumn migration within the southern corridor,2019,3,,BIOLOGICAL CONSERVATION,"[""0006-3207"", ""1873-2917     J9  - BIOL CONSERV     JI  - Biol. Conserv.""]",231,,150-160,"Kantola, T and Tracy, JL and Baum, KA and Quinn, MA and Coulson, RN",,English,,"[""Univ Helsinki, Dept Forest Sci, POB 27, FI-00014 Helsinki, Finland"", ""Texas A&M Univ, Dept Entomol, Knowledge Engn Lab, College Stn, TX 77843 USA"", ""Oklahoma State Univ, Dept Integrat Biol, 501 Life Sci West, Stillwater, OK 74078 USA""]",,Times Cited in Web of Science Core Collection:  29     Total Times Cited:  29     Cited Reference Count:  75,10.1016/j.biocon.2019.01.008     WE  - Science Citation Index Expanded (SCI-EXPANDED),Danaus plexippus;Migratory threats;MaxEnt roadkill niche models;Insect roadkill hotspots;PLEXIPPUS LEPIDOPTERA;FALL MIGRATION;WILDLIFE;POPULATION;DANAIDAE;MODELS;IDENTIFICATION;RESTORATION;LOCATIONS;DYNAMICS;Risk Assessment,,
rayyan-395285489,Opinions of citizen scientists on open access to UK butterfly and moth occurrence data,2019,10,,BIODIVERSITY AND CONSERVATION,"[""0960-3115"", ""1572-9710     J9  - BIODIVERS CONSERV     JI  - Biodivers. Conserv.""]",28,12,3321-3341,"Fox, R and Bourn, NAD and Dennis, EB and Heafield, RT and Maclean, IMD and Wilson, RJ",,English,,"[""Butterfly Conservat, Wareham, Dorset, England"", ""Univ Exeter, Biosci, Exeter, Devon, England"", ""Univ Exeter, Environm & Sustainabil Inst, Penryn, England"", ""Univ Kent, Sch Math Stat & Actuarial Sci, Canterbury, Kent, England"", ""Natl Museum Nat Sci MNCN CSIC, Madrid 28006, Spain""]",,Times Cited in Web of Science Core Collection:  5     Total Times Cited:  5     Cited Reference Count:  75,10.1007/s10531-019-01824-6     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI),Open data;Citizen science;Volunteer attitudes;Species occurrence;Biodiversity conservation;Lepidoptera;BRITISH MOTHS;BIG-DATA;SCIENCE;CHALLENGES;MOTIVATIONS;PARTICIPATION;OPPORTUNITIES;CONSERVATION;VOLUNTEERS;ECOLOGY,,
